base_learner_type,ensemble_method,method_params,repetition,ucr_score,computational_time
LOF,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",9,0.6360000000000001,3891.9189500808716
LOF,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",9,0.6160000000000001,3892.8500034809117
IF,simple_average,{},0,0.224,266.0688815116883
IF,maximum_score,{},0,0.164,266.28299355506897
IF,wv_ols,{},0,0.192,366.56027126312256
IF,wv_ols_r2,"{""emphasize_diversity"": false}",0,0.188,373.18309497833246
IF,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",0,0.232,266.83289861679077
IF,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",0,0.22,267.7410917282104
IF,simple_average,{},1,0.228,266.018801689148
IF,maximum_score,{},1,0.156,266.29158234596247
IF,wv_ols,{},1,0.2,364.6324977874756
IF,wv_ols_r2,"{""emphasize_diversity"": false}",1,0.196,369.4210085868835
IF,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",1,0.23600000000000002,266.8155446052551
IF,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",1,0.228,268.31749677658075
IF,simple_average,{},2,0.224,257.1396973133088
IF,maximum_score,{},2,0.188,257.39259147644043
IF,wv_ols,{},2,0.20800000000000002,356.5495667457581
IF,wv_ols_r2,"{""emphasize_diversity"": false}",2,0.188,358.5377056598664
IF,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",2,0.21600000000000003,257.911640882492
IF,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",2,0.22,258.955626487732
IF,simple_average,{},3,0.228,266.00544190406805
IF,maximum_score,{},3,0.192,266.26090884208674
IF,wv_ols,{},3,0.20800000000000002,366.2980592250823
IF,wv_ols_r2,"{""emphasize_diversity"": false}",3,0.20400000000000001,368.1582820415497
IF,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",3,0.23600000000000002,266.87451577186584
IF,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",3,0.232,267.8230299949646
IF,simple_average,{},4,0.224,266.01469779014593
IF,maximum_score,{},4,0.164,266.2743153572082
IF,wv_ols,{},4,0.20400000000000001,370.09773159027094
IF,wv_ols_r2,"{""emphasize_diversity"": false}",4,0.188,373.316251039505
IF,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",4,0.224,266.9299881458283
IF,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",4,0.22,267.94061303138733
IF,simple_average,{},5,0.21200000000000002,266.05812478065485
IF,maximum_score,{},5,0.184,266.33318352699274
IF,wv_ols,{},5,0.20400000000000001,371.4818212985992
IF,wv_ols_r2,"{""emphasize_diversity"": false}",5,0.196,376.27265262603765
IF,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",5,0.21600000000000003,266.9556767940521
IF,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",5,0.224,267.9167413711547
IF,simple_average,{},6,0.224,266.03498268127436
IF,maximum_score,{},6,0.188,266.33232593536377
IF,wv_ols,{},6,0.20800000000000002,371.26701498031616
IF,wv_ols_r2,"{""emphasize_diversity"": false}",6,0.196,375.93813133239735
IF,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",6,0.22,266.9323267936706
IF,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",6,0.224,267.89689207077026
IF,simple_average,{},7,0.228,266.0520417690277
IF,maximum_score,{},7,0.168,266.34412908554077
IF,wv_ols,{},7,0.188,372.92328214645386
IF,wv_ols_r2,"{""emphasize_diversity"": false}",7,0.17200000000000001,376.5138077735901
IF,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",7,0.224,266.9770386219024
IF,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",7,0.224,267.9423694610595
IF,simple_average,{},8,0.23600000000000002,257.11112236976635
IF,maximum_score,{},8,0.168,257.38708662986767
IF,wv_ols,{},8,0.224,362.0488414764405
IF,wv_ols_r2,"{""emphasize_diversity"": false}",8,0.21600000000000003,368.17621350288385
IF,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",8,0.24400000000000002,258.0044796466827
IF,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",8,0.24400000000000002,258.9659385681152
IF,simple_average,{},9,0.224,266.0644154548645
IF,maximum_score,{},9,0.16,266.3441410064697
IF,wv_ols,{},9,0.192,373.38243484497065
IF,wv_ols_r2,"{""emphasize_diversity"": false}",9,0.184,376.49583816528315
IF,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",9,0.232,266.92794203758234
IF,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",9,0.23600000000000002,267.9233977794646
